Borough,Year,TotalVolume
Bronx,2007,119718
Bronx,2008,2191506
Bronx,2009,26030
Bronx,2010,211337
Bronx,2011,38908
Bronx,2012,184750
Bronx,2013,886996
Bronx,2014,2865586
Bronx,2015,2586151
Bronx,2016,221209
Bronx,2017,11336909
Bronx,2018,6831228
Bronx,2019,63621
Bronx,2020,11491
Bronx,2021,6408971
Bronx,2022,9406142
Bronx,2023,21293730
Brooklyn,2007,18122
Brooklyn,2008,698761
Brooklyn,2009,336029
Brooklyn,2010,325622
Brooklyn,2011,507110
Brooklyn,2012,1021757
Brooklyn,2013,391505
Brooklyn,2014,179360
Brooklyn,2015,2019373
Brooklyn,2016,589881
Brooklyn,2017,2179835
Brooklyn,2018,3923941
Brooklyn,2019,5099712
Brooklyn,2020,323641
Brooklyn,2021,19888415
Brooklyn,2022,3557122
Brooklyn,2023,20444219
Manhattan,2008,106766
Manhattan,2009,271417
Manhattan,2010,204995
Manhattan,2011,218555
Manhattan,2012,2232838
Manhattan,2013,3622292
Manhattan,2014,690883
Manhattan,2015,595846
Manhattan,2016,165800
Manhattan,2017,6264459
Manhattan,2018,11838711
Manhattan,2019,685510
Manhattan,2020,568141
Manhattan,2021,3393000
Manhattan,2022,443759
Manhattan,2023,6612238
Queens,2007,21208
Queens,2008,48661
Queens,2009,755276
Queens,2010,1227488
Queens,2011,210429
Queens,2012,917604
Queens,2013,4724080
Queens,2014,4252701
Queens,2015,1235236
Queens,2016,3688303
Queens,2017,4148200
Queens,2018,38466208
Queens,2019,15167766
Queens,2020,645142
Queens,2021,31306754
Queens,2022,15344160
Queens,2023,40399134
Staten Island,2000,8036
Staten Island,2008,54484
Staten Island,2009,122268
Staten Island,2010,20567
Staten Island,2011,49510
Staten Island,2012,64628
Staten Island,2013,159732
Staten Island,2014,894
Staten Island,2015,219580
Staten Island,2016,258598
Staten Island,2017,1975255
Staten Island,2018,6805020
Staten Island,2019,86918
Staten Island,2020,240065
Staten Island,2021,3184175
Staten Island,2022,2935920
Staten Island,2023,6622602
